time,user_id,user_name,gift_name,gift_count,diamond_total,grade,fans_club
21:03:56,56585855490,茜茜,粉丝团灯牌,1,1,[等级35],[粉丝团 Lv10]
21:03:56,4441674979758301,强Ge,小心心,1,1,[等级19],[粉丝团 Lv8]
21:03:56,3852291762041080,光头有点闲,粉丝团灯牌,1,1,[等级14],[粉丝团 Lv13]
21:03:56,2387747544255915,༺ཌༀཉི风痕༃ༀད༻,粉丝团灯牌,1,1,[等级32],[粉丝团 Lv14]
21:03:56,474579779990204,JIN.,粉丝团灯牌,1,1,[等级30],[粉丝团 Lv4]
21:03:56,104430122590,黄八咪,大啤酒,1,2,[等级22],[粉丝团 Lv15]
21:03:56,67620884199,滴哒滴,点亮粉丝团,1,1,[等级14],[粉丝团 Lv1]
21:03:56,4164566305741960,Joey.0906,点亮粉丝团,1,99,[等级38],[粉丝团 Lv16]
21:03:56,67620884199,滴哒滴,粉丝团灯牌,1,1,[等级14],[粉丝团 Lv1]
21:03:56,67620884199,滴哒滴,点亮粉丝团,1,1,[等级14],[粉丝团 Lv1]
21:03:56,104430122590,黄八咪,大啤酒,1,2,[等级22],[粉丝团 Lv15]
21:03:56,2711870804344460,谨,粉丝团灯牌,1,1,[等级18],[粉丝团 Lv11]
21:03:56,83610648048,慢慢走.别急,粉丝团灯牌,1,1,[等级16],[粉丝团 Lv6]
21:03:57,72191142523,繁星日记,小心心,1,1,[等级6],
21:03:57,3889430151311972,ㅤㅤㅤㅤㅤㅤ,为你闪耀,1,9,[等级15],[粉丝团 Lv5]
21:03:57,72191142523,繁星日记,小心心,1,1,[等级6],
21:03:57,69598102678,少少,点亮粉丝团,1,1,[等级44],[粉丝团 Lv6]
21:03:57,3889430151311972,ㅤㅤㅤㅤㅤㅤ,为你闪耀,1,9,[等级15],[粉丝团 Lv5]
21:03:58,1222308229556030,单眼皮,粉丝团灯牌,1,1,[等级15],[粉丝团 Lv11]
21:03:58,83950149700,🥀₅²⁰💃李是我的蔡¹ᶟ₁₄,小心心,1,1,[等级27],[粉丝团 Lv11]
21:03:58,69598102678,少少,点亮粉丝团,1,1,[等级44],[粉丝团 Lv6]
21:03:58,69598102678,少少,粉丝团灯牌,1,1,[等级44],[粉丝团 Lv6]
21:03:58,93145029236,蒋威,点亮粉丝团,1,1,[等级28],[粉丝团 Lv6]
21:03:58,83950149700,🥀₅²⁰💃李是我的蔡¹ᶟ₁₄,小心心,1,1,[等级27],[粉丝团 Lv11]
21:03:58,93145029236,蒋威,粉丝团灯牌,1,1,[等级28],[粉丝团 Lv6]
21:03:58,93145029236,蒋威,点亮粉丝团,1,1,[等级28],[粉丝团 Lv6]
21:04:00,69465809317,麋鹿不迷路,小心心,1,1,[等级21],[粉丝团 Lv14]
21:04:00,1657700341517559,你过来呀,粉丝团灯牌,1,1,[等级31],[粉丝团 Lv15]
21:04:02,3151655154487960,H·Nov¹⁶·Sco♏,真的爱你,1,520,[等级42],[粉丝团 Lv15]
21:04:03,69465809317,麋鹿不迷路,小心心,1,1,[等级21],[粉丝团 Lv14]
21:04:04,497404843918919,耗子,点亮粉丝团,1,1,[等级40],[粉丝团 Lv10]
21:04:04,82231126833,～:～,粉丝团灯牌,1,1,[等级30],[粉丝团 Lv13]
21:04:05,99729410006,Lucas呈熹,点亮粉丝团,1,9,[等级30],[粉丝团 Lv12]
21:04:07,2590102490720099,梦醉扶摇,粉丝团灯牌,1,1,[等级21],[粉丝团 Lv10]
21:04:07,497404843918919,耗子,点亮粉丝团,1,1,[等级40],[粉丝团 Lv10]
21:04:08,99729410006,Lucas呈熹,点亮粉丝团,1,9,[等级30],[粉丝团 Lv12]
21:04:10,97176461425,つ微凉徒眸意浅挚半,鲜花,1,10,[等级13],
21:04:11,97176461425,つ微凉徒眸意浅挚半,鲜花,2,20,[等级13],
21:04:12,71709776982,宝缘财旺,粉丝团灯牌,1,1,[等级20],[粉丝团 Lv11]
21:04:12,69465809317,麋鹿不迷路,小心心,1,1,[等级21],[粉丝团 Lv14]
21:04:13,62347523432,想多了,点亮粉丝团,1,1,[等级9],[粉丝团 Lv6]
21:04:13,97176461425,つ微凉徒眸意浅挚半,鲜花,3,30,[等级14],
21:04:14,72197611553,张尛丶博子_,点亮粉丝团,1,1,[等级12],[粉丝团 Lv10]
21:04:14,483381591161981,🦪,粉丝团灯牌,1,1,[等级21],[粉丝团 Lv11]
21:04:14,97176461425,つ微凉徒眸意浅挚半,鲜花,4,40,[等级14],
