time,user_id,user_name,gift_name,gift_count,diamond_total,grade,fans_club
12:01:21,111462036144,路过,粉丝团灯牌,1,1,[等级19],[粉丝团 Lv10]
12:01:21,62188460684,火锅🍲,粉丝团灯牌,1,1,[等级21],[粉丝团 Lv6]
12:01:21,62188460684,火锅🍲,点亮粉丝团,1,1,[等级21],[粉丝团 Lv6]
12:01:21,60217137931,橘子皮,粉丝团灯牌,1,1,[等级22],[粉丝团 Lv9]
12:01:21,3399321781282036,瘾°灬,爱你哟,1,52,[等级10],[粉丝团 Lv2]
12:01:21,76055161767,黑曼巴,粉丝团灯牌,1,1,[等级26],[粉丝团 Lv13]
12:01:21,83687008649,左右,粉丝团灯牌,1,1,[等级28],[粉丝团 Lv15]
12:01:21,69756627536,酥小宝🐷,为你闪耀,1,9,[等级37],[粉丝团 Lv11]
12:01:21,53136197759,𝗦·𝗝𝘂𝗻¹²𝗟𝗲𝗼𖠚ᐝ,粉丝团灯牌,1,1,[等级28],[粉丝团 Lv15]
12:01:21,72803666089,亦初༠⁰²¹⁰,粉丝团灯牌,1,1,[等级39],[粉丝团 Lv15]
12:01:21,67291517903,@辉辉,粉丝团灯牌,1,1,[等级22],[粉丝团 Lv15]
12:01:22,3399321781282036,瘾°灬,爱你哟,1,52,[等级10],[粉丝团 Lv2]
12:01:22,55348290453,香蕉你个不呐呐,粉丝团灯牌,1,1,[等级24],[粉丝团 Lv10]
12:01:22,93569176160,豫快而乐,人气票,1,1,[等级30],[粉丝团 Lv10]
12:01:22,1141745188871769,清 玥,粉丝团灯牌,1,1,[等级21],[粉丝团 Lv6]
12:01:22,1406979156222403,˗ˏˋ 🍊 ˎˊ˗,粉丝团灯牌,1,1,[等级13],[粉丝团 Lv12]
12:01:22,95114696630,楠De小雨天气💦,粉丝团灯牌,1,1,[等级19],[粉丝团 Lv8]
12:01:22,69756627536,酥小宝🐷,为你闪耀,1,9,[等级37],[粉丝团 Lv11]
12:01:22,102487510147,轩轩,粉丝团灯牌,1,1,[等级33],[粉丝团 Lv12]
12:01:22,101867441558,无敌橙子皮🦈,粉丝团灯牌,1,1,[等级27],[粉丝团 Lv10]
12:01:22,847094502918092,雨停了,点亮粉丝团,1,1,[等级3],[粉丝团 Lv5]
12:01:22,104596718632,醉眼看人间,粉丝团灯牌,1,1,[等级19],[粉丝团 Lv14]
12:01:22,108174031750,■劉锅锅…つ⁵¹⁰⁷⁴,粉丝团灯牌,1,1,[等级33],[粉丝团 Lv15]
12:01:22,66417759679,夏天好热🥵,粉丝团灯牌,1,1,[等级15],[粉丝团 Lv13]
12:01:22,93569176160,豫快而乐,人气票,1,1,[等级30],[粉丝团 Lv10]
12:01:22,72803666089,亦初༠⁰²¹⁰,为你闪耀,1,9,[等级39],[粉丝团 Lv15]
12:01:22,97217883865,尭💫,点亮粉丝团,1,1,[等级22],[粉丝团 Lv8]
12:01:22,65938442573,芋泥脏脏包,小心心,1,1,[等级10],[粉丝团 Lv6]
12:01:22,1953154938971336,那些年,粉丝团灯牌,1,1,[等级16],[粉丝团 Lv12]
12:01:22,104679583625,Aria,粉丝团灯牌,1,1,[等级12],[粉丝团 Lv12]
12:01:22,847094502918092,雨停了,点亮粉丝团,1,1,[等级3],[粉丝团 Lv5]
12:01:22,62995474391,耶耶爽,粉丝团灯牌,1,1,[等级15],[粉丝团 Lv10]
12:01:22,59591607129,用户1228,粉丝团灯牌,1,1,[等级21],[粉丝团 Lv5]
12:01:23,3609040300280739,iiio,粉丝团灯牌,1,1,[等级6],[粉丝团 Lv8]
12:01:23,2796812370457612,♥🧡🩵🖤🩶,粉丝团灯牌,1,1,[等级28],[粉丝团 Lv11]
12:01:23,97217883865,尭💫,粉丝团灯牌,1,1,[等级22],[粉丝团 Lv8]
12:01:23,97217883865,尭💫,点亮粉丝团,1,1,[等级22],[粉丝团 Lv8]
12:01:23,68454462060,叮咚,粉丝团灯牌,1,1,[等级38],[粉丝团 Lv13]
12:01:23,72803666089,亦初༠⁰²¹⁰,为你闪耀,1,9,[等级39],[粉丝团 Lv15]
12:01:23,65938442573,芋泥脏脏包,小心心,1,1,[等级10],[粉丝团 Lv6]
12:01:23,72803666089,亦初༠⁰²¹⁰,为你闪耀,1,9,[等级39],[粉丝团 Lv15]
12:01:23,3191205438161268,钱琪.,粉丝团灯牌,1,1,[等级21],[粉丝团 Lv11]
12:01:23,104514705176,伊芙琳主义,粉丝团灯牌,1,1,[等级11],[粉丝团 Lv10]
12:01:23,72803666089,亦初༠⁰²¹⁰,为你闪耀,2,18,[等级39],[粉丝团 Lv15]
12:01:23,3083450867780228,258,粉丝团灯牌,1,1,[等级30],[粉丝团 Lv11]
12:01:23,72803666089,亦初༠⁰²¹⁰,为你闪耀,2,18,[等级39],[粉丝团 Lv15]
12:01:23,558174189912492,✨Waner✨乖乖💫,粉丝团灯牌,1,1,[等级25],[粉丝团 Lv9]
12:01:23,99842492019,零⁹º⁹,点亮粉丝团,1,1,[等级22],[粉丝团 Lv10]
12:01:23,72803666089,亦初༠⁰²¹⁰,为你闪耀,1,9,[等级39],[粉丝团 Lv15]
12:01:23,90108077231,歲月靜好,粉丝团灯牌,1,1,[等级20],[粉丝团 Lv12]
12:01:23,81195391616,我会一直在i,粉丝团灯牌,1,1,[等级18],[粉丝团 Lv13]
12:01:24,69756627536,酥小宝🐷,为你闪耀,1,9,[等级37],[粉丝团 Lv11]
12:01:24,93252626742,故渊、,粉丝团灯牌,1,1,[等级32],[粉丝团 Lv15]
12:01:24,2370976549964584,清然⁵¹⁰⁷⁴,粉丝团灯牌,1,1,[等级29],[粉丝团 Lv15]
12:01:24,2207416305857560,晨'、⁹⁹⁹⁹⁹,闪烁星河,1,1,[等级39],[粉丝团:张君雅 Lv12]
12:01:25,60371258024,谢陏郁,粉丝团灯牌,1,1,[等级35],[粉丝团 Lv12]
12:01:25,74910961504,是嘎嘎呀🐷,粉丝团灯牌,1,1,[等级25],[粉丝团 Lv11]
12:01:25,93427198639,☞清风xu来🉐💰☜,点亮粉丝团,1,1,[等级15],[粉丝团 Lv4]
12:01:25,840493498901248,小强爱说笑话,粉丝团灯牌,1,1,[等级3],[粉丝团 Lv6]
12:01:26,65719195404,青棠,粉丝团灯牌,1,1,[等级29],[粉丝团 Lv14]
12:01:26,99842492019,零⁹º⁹,点亮粉丝团,1,1,[等级22],[粉丝团 Lv10]
12:01:26,72803666089,亦初༠⁰²¹⁰,为你闪耀,1,9,[等级39],[粉丝团 Lv15]
12:01:27,51072646832,饭,粉丝团灯牌,1,1,[等级18],[粉丝团 Lv8]
12:01:27,65938442573,芋泥脏脏包,粉丝团灯牌,1,1,[等级10],[粉丝团 Lv6]
12:01:27,62831274305,肆初,粉丝团灯牌,1,1,[等级18],[粉丝团 Lv8]
12:01:27,69756627536,酥小宝🐷,为你闪耀,1,9,[等级37],[粉丝团 Lv11]
12:01:27,2207416305857560,晨'、⁹⁹⁹⁹⁹,星光闪耀,1,9,[等级39],[粉丝团:张君雅 Lv12]
12:01:27,4160159374915432,斜阳丶,粉丝团灯牌,1,1,[等级19],[粉丝团 Lv12]
12:01:28,93427198639,☞清风xu来🉐💰☜,点亮粉丝团,1,1,[等级15],[粉丝团 Lv4]
12:01:29,94676832208,@是杨杨呀,粉丝团灯牌,1,1,[等级18],[粉丝团 Lv13]
12:01:30,2207416305857560,晨'、⁹⁹⁹⁹⁹,星光闪耀,2,18,[等级39],[粉丝团:张君雅 Lv12]
12:01:31,2357801437114141,小刘不吃草,粉丝团灯牌,1,1,[等级9],[粉丝团 Lv7]
12:01:31,4031251007150083,99%CD,粉丝团灯牌,1,1,[等级25],[粉丝团 Lv12]
12:01:31,106171807771,～左～,粉丝团灯牌,1,1,[等级22],[粉丝团 Lv8]
12:01:32,55159220102,BWRZ（记录美好）,粉丝团灯牌,1,1,[等级36],[粉丝团 Lv16]
12:01:33,63993865109,Biāo哥,粉丝团灯牌,1,1,[等级23],[粉丝团 Lv12]
