time,user_id,user_name,gift_name,gift_count,diamond_total,grade,fans_club
2026-05-16 21:03:40,104029344800,彬彬有礼😊,为你闪耀,1,9,[等级14],[粉丝团 Lv5]
2026-05-16 21:03:40,81488044418,毛哥,粉丝团灯牌,1,1,[等级34],[粉丝团 Lv12]
2026-05-16 21:03:40,2510895138218599,刘一叨,粉丝团灯牌,1,1,[等级29],[粉丝团 Lv10]
2026-05-16 21:03:40,111200763682,"Mr,李",粉丝团灯牌,1,1,[等级32],[粉丝团 Lv4]
2026-05-16 21:03:40,53599471470,A-svvv.,为你闪耀,1,9,[等级18],[粉丝团 Lv11]
2026-05-16 21:03:40,104029344800,彬彬有礼😊,为你闪耀,1,9,[等级14],[粉丝团 Lv5]
2026-05-16 21:03:41,355860765224654,余生☜,人气票,1,1,[等级20],[粉丝团 Lv1]
2026-05-16 21:03:41,53599471470,A-svvv.,为你闪耀,1,9,[等级18],[粉丝团 Lv11]
2026-05-16 21:03:41,355860765224654,余生☜,人气票,1,1,[等级20],[粉丝团 Lv1]
2026-05-16 21:03:41,3320120868872733,晓🔥➹熬汤🎶,粉丝团灯牌,1,1,[等级24],[粉丝团 Lv11]
2026-05-16 21:03:41,1024373538947773,墨遥,粉丝团灯牌,1,1,[等级33],[粉丝团 Lv8]
2026-05-16 21:03:42,53599471470,A-svvv.,为你闪耀,1,9,[等级18],[粉丝团 Lv11]
2026-05-16 21:03:42,53599471470,A-svvv.,为你闪耀,2,18,[等级18],[粉丝团 Lv11]
2026-05-16 21:03:42,71295108693,疯人院里的疯子,粉丝团灯牌,1,1,[等级14],[粉丝团 Lv12]
2026-05-16 21:03:42,111239340976,起风了,粉丝团灯牌,1,1,[等级22],[粉丝团 Lv5]
2026-05-16 21:03:42,50316196128,懒大王i,点亮粉丝团,1,1,[等级14],[粉丝团 Lv2]
2026-05-16 21:03:43,53599471470,A-svvv.,为你闪耀,2,18,[等级18],[粉丝团 Lv11]
