time,user_id,user_name,content,grade,fans_club
12:05:00,1999344845471356,不会后悔,别唱大哥,[等级5],
12:05:03,110947301379,冬哥李,怎么不和菜园子打,[等级33],[粉丝团 Lv12]
12:05:08,111187592269,内江金融姜太公！,[比心],,
12:05:12,3384735538358867,Dreamliner,下饭,,
12:05:16,66914748227,{千城墨白},@冬哥李 你怎么不刷华子,[等级23],[粉丝团 Lv13]
12:05:17,76893664692,不走寻常路先生,游戏主播就好好打游戏，唱什么歌啊,[等级18],
12:05:17,1376241574754008,🌈彩虹中福袋🃏,老黑，今天你的鬼密来了没[看][看][看][看][看][看][看],[等级11],
12:05:18,3175856763320983,镜予,@暴富  暴瘦  变美❣️ 人家都在吃饭[捂脸][捂脸],[等级3],[粉丝团 Lv6]
12:05:19,55159220102,BWRZ（记录美好）,错过了都没了[看],[等级36],[粉丝团:张君雅 Lv16]
12:05:22,55159220102,BWRZ（记录美好）,想什么呢,[等级36],[粉丝团:张君雅 Lv16]
12:05:25,111471954172,a 5bdr93⁵¹⁰⁷⁴,我也刚起来，正拉[捂脸],[等级46],[粉丝团 Lv15]
12:05:28,100313663814,༺TIME༻,铜牌,[等级15],[粉丝团 Lv11]
12:05:35,96907518366,໑ຼ᭄淡༄蓝°ꦿ,弹幕聊天小点声！我挂着睡觉,[等级29],[粉丝团 Lv11]
12:05:39,110889583463,暴富  暴瘦  变美❣️,@镜予 我吃完了 都拉了一遍,[等级21],[粉丝团 Lv10]
12:05:41,874847890575219,沧枭北渊,on yes来吗,[等级1],
12:05:41,1376241574754008,🌈彩虹中福袋🃏,老黑，鬼密来了没[看][看][看],[等级11],
12:05:43,94702002324,立®💯,我有来晚了,[等级16],[粉丝团 Lv11]
12:05:47,72481359806,歲歲金安,老黑迟到了,[等级16],
12:05:49,108617331607,🕊·R·₂·R·🕊ོ,hello~爱播[害羞][坏笑][害羞][坏笑][害羞][坏笑],[等级15],[粉丝团 Lv11]
12:05:55,97592695622,Mr.Zheng,[呲牙][呲牙][呲牙],[等级22],[粉丝团 Lv11]
12:05:56,3013139552021534,🦁🖤,昨天早退 今天晚到 妳狡辩狡辩（黑丝,[等级32],[粉丝团:张君雅 Lv16]
12:06:00,96769891445,人间小叔子,今天这是有味道的主播间[捂脸],[等级30],[粉丝团 Lv15]
12:06:01,2330557197323031,那你将如何,卡,[等级4],[粉丝团 Lv1]
12:06:03,3715988572355019,一只兔子,[爱心][爱心][爱心],[等级19],[粉丝团 Lv14]
12:06:05,3934507317863532,一个从人民中走出来的普通人,老黑宝宝。昨晚睡得好吗,[等级23],[粉丝团 Lv2]
12:06:10,307514755259232,浪子鹏☯️,我来晚了  老黑道歉,[等级30],[粉丝团 Lv10]
12:06:11,1946599684842282,春日捕月,爱播你迟到了,,
12:06:12,2598833871140296,霩麝,张大咪,[等级12],[粉丝团 Lv6]
12:06:13,108959704499,悦读悦悟,这把当老六吧？,[等级3],
12:06:13,1376222085652807,开心就好😄,今天中午还打昨天的吗,[等级3],[粉丝团 Lv5]
12:06:14,93316149550,艾晨,@人间小叔子 你舔闻,[等级27],
12:06:14,62586327039,陌路,你迟到了老黑,[等级12],[粉丝团 Lv5]
12:06:18,100313663814,༺TIME༻,准备12级了，可以让深情发腿照吗[看],[等级15],[粉丝团 Lv11]
12:06:24,98880274106,冯跃,大老黑,[等级17],[粉丝团 Lv10]
12:06:28,110889583463,暴富  暴瘦  变美❣️,老黑今天跟谁打？,[等级21],[粉丝团 Lv10]
12:06:32,86309552371,熊开心🐻,@开心就好😄 看标,[等级17],[粉丝团 Lv11]
12:06:35,2782222237837918,🌈张张跑不动,我是哑巴，开不了麦,[等级28],
12:06:36,108162295013,亦,老黑上班太准时了,[等级36],
12:06:41,55159220102,BWRZ（记录美好）,@༺TIME༻ 你去私信他他一般情况下[看]看到发你的概率不大[看],[等级36],[粉丝团:张君雅 Lv16]
12:06:47,3378144954030583,王七月,不开麦打的太累了,[等级4],[粉丝团 Lv3]
12:06:55,4257785992460477,煜坤,大咪呢,[等级17],[粉丝团 Lv6]
12:07:08,110889583463,暴富  暴瘦  变美❣️,猫呢,[等级21],[粉丝团 Lv10]
12:07:11,4258839891551147,一只🐏唛,多少分了雅姐,,
12:07:16,94884505922,綪哊獨蔠,[比心],[等级3],[粉丝团 Lv2]
12:07:18,93316149550,艾晨,大咪产假去了,[等级27],
12:07:20,3752004676488691,11^G,[打call][打call][打call],[等级10],[粉丝团 Lv10]
12:07:24,1102130459973504,49,小雅,[等级47],
12:07:26,104915596694,小雨点💧,咪咪失踪了,[等级14],[粉丝团 Lv5]
12:07:26,2201666492307559,慕容皓轩@,中午好[赞],[等级15],[粉丝团 Lv11]
12:07:26,751688916140631,甜菜蒸蚌！,电音刚刚,[等级11],[粉丝团 Lv9]
12:07:28,65008922355,浮夸.,来啦来啦,[等级27],[粉丝团 Lv2]
12:07:29,99049143910,杨🐏,大咪生孩子去了,[等级16],[粉丝团 Lv4]
12:07:38,24852553135,仙,刚才还卡个电音,[等级28],[粉丝团 Lv12]
12:07:38,61285448905,LV,每天唯一的乐趣就是看雅妹直播,[等级10],[粉丝团 Lv3]
12:07:39,2696470331403998,猩球商行,路匹队友就这样呀，跟你跳都不错了,[等级6],[粉丝团 Lv1]
12:07:39,108617331607,🕊·R·₂·R·🕊ོ,哈哈哈哈哈哈[捂脸][捂脸][捂脸],[等级15],[粉丝团 Lv11]
12:07:44,66446438256,🐮🐰,和谁一起？,[等级10],[粉丝团 Lv7]
12:07:44,3013139552021534,🦁🖤,给她戳破了（黑丝,[等级32],[粉丝团:张君雅 Lv16]
12:07:44,1376241574754008,🌈彩虹中福袋🃏,老黑，你要八倍吗，你不开金口。我也给你送过来[看][看][看][看][看][看][看][看][看][看][看][看][看][看][看][看][看][看][看][看],[等级11],
12:07:51,2782222237837918,🌈张张跑不动,哪里起个泡？我给你吸一吸就好了,[等级28],
12:07:58,55159220102,BWRZ（记录美好）,[衰][干饭人],[等级36],[粉丝团:张君雅 Lv16]
12:08:04,1714836544962407,曾令涛,你妈妈叫你吃饭了张君雅,[等级23],[粉丝团 Lv2]
12:08:08,96955386184,i,雅姐今天声音好好听吖,[等级42],
12:08:12,98909520892,要ˢᵃʸ爱我,大咪呢,[等级3],[粉丝团 Lv1]
12:08:20,1450990097148840,如此奇妙,@🌈张张跑不动 脚后跟[捂脸],[等级25],[粉丝团 Lv13]
