time,user_id,user_name,gift_name,gift_count,diamond_total,grade,fans_club
2026-05-17 21:03:45,61485803368,ᥫᩣฅ⭐,大啤酒,1,2,[等级4],[粉丝团 Lv7]
2026-05-17 21:03:46,2648043753577421,若你豫见,520快乐,1,1,[等级28],[粉丝团 Lv5]
2026-05-17 21:03:46,1836612618291744,悠米 Umiro摆件工厂店铺,520快乐,1,1,[等级6],
2026-05-17 21:03:46,1836612618291744,悠米 Umiro摆件工厂店铺,520快乐,2,2,[等级6],
2026-05-17 21:03:46,2057879429852696,丁大辰,粉丝团灯牌,1,1,[等级20],[粉丝团 Lv12]
2026-05-17 21:03:46,84239725417,满心欢喜٩(ˊωˋ*)و,粉丝团灯牌,1,1,[等级13],[粉丝团 Lv10]
2026-05-17 21:03:46,95967205130,牛牛爸爸耶,粉丝团灯牌,1,1,[等级18],[粉丝团 Lv8]
2026-05-17 21:03:46,63294797343,Wang,粉丝团灯牌,1,1,[等级24],[粉丝团 Lv5]
2026-05-17 21:03:46,2648043753577421,若你豫见,520快乐,1,1,[等级28],[粉丝团 Lv5]
2026-05-17 21:03:46,1836612618291744,悠米 Umiro摆件工厂店铺,520快乐,2,2,[等级6],
2026-05-17 21:03:46,3732187851805405,柒,为你闪耀,1,9,[等级11],[粉丝团 Lv7]
2026-05-17 21:03:46,1473768201126212,点点点,粉丝团灯牌,1,1,[等级27],[粉丝团 Lv11]
2026-05-17 21:03:46,861607089670943,࿐韩先生🎭,点亮粉丝团,1,1,[等级7],[粉丝团 Lv7]
2026-05-17 21:03:46,650510630922487,用户3041252708285，,点亮粉丝团,1,1,[等级10],[粉丝团 Lv10]
2026-05-17 21:03:47,103959715954,劉，,粉丝团灯牌,1,1,[等级18],[粉丝团 Lv11]
2026-05-17 21:03:47,3732187851805405,柒,为你闪耀,1,9,[等级11],[粉丝团 Lv7]
2026-05-17 21:03:47,861607089670943,࿐韩先生🎭,点亮粉丝团,1,1,[等级7],[粉丝团 Lv7]
2026-05-17 21:03:47,650510630922487,用户3041252708285，,点亮粉丝团,1,1,[等级10],[粉丝团 Lv10]
2026-05-17 21:03:47,69840413089,游不动的波妞,粉丝团灯牌,1,1,[等级11],[粉丝团 Lv11]
2026-05-17 21:03:47,650510630922487,用户3041252708285，,粉丝团灯牌,1,1,[等级10],[粉丝团 Lv10]
2026-05-17 21:03:47,96998275818,🥀独🎗行🍺者(͡° ͜ʖ ͡°),大啤酒,1,2,[等级36],[粉丝团 Lv8]
2026-05-17 21:03:47,61063771122,bin☞少,小心心,1,1,[等级22],[粉丝团 Lv4]
2026-05-17 21:03:48,96998275818,🥀独🎗行🍺者(͡° ͜ʖ ͡°),大啤酒,1,2,[等级36],[粉丝团 Lv8]
2026-05-17 21:03:48,1731069114333524,长安,粉丝团灯牌,1,1,[等级7],[粉丝团 Lv2]
2026-05-17 21:03:48,66783210861,玖月,粉丝团灯牌,1,1,[等级34],[粉丝团 Lv13]
2026-05-17 21:03:48,92403004279,00K很ok！,粉丝团灯牌,1,1,[等级14],[粉丝团 Lv10]
2026-05-17 21:03:49,61063771122,bin☞少,小心心,1,1,[等级22],[粉丝团 Lv4]
2026-05-17 21:03:49,940786717300797,程庭,点亮粉丝团,1,1,[等级1],[粉丝团 Lv1]
2026-05-17 21:03:50,12751309723,不敢带回家的花,点亮粉丝团,1,9,[等级21],[粉丝团 Lv12]
2026-05-17 21:03:52,940786717300797,程庭,点亮粉丝团,1,1,[等级1],[粉丝团 Lv1]
2026-05-17 21:03:52,92850574669,陈可安,小心心,1,1,[等级34],
2026-05-17 21:03:53,1706087579648359,𩲧,粉丝团灯牌,1,1,[等级21],[粉丝团 Lv13]
2026-05-17 21:03:53,12751309723,不敢带回家的花,粉丝团灯牌,1,1,[等级21],[粉丝团 Lv12]
2026-05-17 21:03:53,12751309723,不敢带回家的花,点亮粉丝团,1,9,[等级21],[粉丝团 Lv12]
2026-05-17 21:03:54,98423630214,已灰之木,点亮粉丝团,1,1,[等级21],[粉丝团 Lv5]
2026-05-17 21:03:55,98423630214,已灰之木,粉丝团灯牌,1,1,[等级21],[粉丝团 Lv5]
2026-05-17 21:03:55,98423630214,已灰之木,点亮粉丝团,1,1,[等级21],[粉丝团 Lv5]
2026-05-17 21:03:56,2361387433074296,琼,粉丝团灯牌,1,1,[等级22],[粉丝团 Lv14]
2026-05-17 21:03:56,92850574669,陈可安,小心心,1,1,[等级34],
2026-05-17 21:03:56,773699209012600,沉默丿已自然,点亮粉丝团,1,1,[等级25],[粉丝团 Lv10]
2026-05-17 21:03:58,940786717300797,程庭,粉丝团灯牌,1,1,[等级1],[粉丝团 Lv1]
2026-05-17 21:03:58,100228354423,玲,小心心,1,1,[等级5],
2026-05-17 21:03:59,773699209012600,沉默丿已自然,粉丝团灯牌,1,1,[等级25],[粉丝团 Lv10]
2026-05-17 21:03:59,773699209012600,沉默丿已自然,点亮粉丝团,1,1,[等级25],[粉丝团 Lv10]
2026-05-17 21:03:59,773699209012600,沉默丿已自然,点亮粉丝团,1,1,[等级25],[粉丝团 Lv10]
2026-05-17 21:04:01,100228354423,玲,小心心,1,1,[等级5],
2026-05-17 21:04:02,96956631134,菄,入团卡,1,1,[等级37],
2026-05-17 21:04:03,1072716499657160,可望,粉丝团灯牌,1,1,[等级17],[粉丝团 Lv11]
2026-05-17 21:04:04,466605475895597,肉包里打滚,平底锅,1,1,[等级7],[粉丝团 Lv3]
2026-05-17 21:04:04,88109577408,指尖,粉丝团灯牌,1,1,[等级16],[粉丝团 Lv11]
2026-05-17 21:04:05,51072646832,饭,粉丝团灯牌,1,1,[等级17],[粉丝团 Lv7]
2026-05-17 21:04:05,96956631134,菄,入团卡,1,1,[等级37],
2026-05-17 21:04:07,466605475895597,肉包里打滚,平底锅,1,1,[等级7],[粉丝团 Lv3]
2026-05-17 21:04:11,59184933152,十里故清欢,粉丝团灯牌,1,1,[等级20],[粉丝团 Lv8]
2026-05-17 21:04:11,109654118348,五月呀,大啤酒,1,2,[等级23],[粉丝团 Lv15]
2026-05-17 21:04:12,2695630470777549,理理是小崽宝的挚爱❤️,粉丝团灯牌,1,1,[等级36],[粉丝团 Lv10]
2026-05-17 21:04:14,109654118348,五月呀,大啤酒,1,2,[等级23],[粉丝团 Lv15]
2026-05-17 21:04:14,2648043753577421,若你豫见,点亮粉丝团,1,1,[等级28],[粉丝团 Lv5]
2026-05-17 21:04:16,83920884753,i狗,粉丝团灯牌,1,1,[等级15],[粉丝团 Lv6]
2026-05-17 21:04:16,60636023856,蜂蜜抽子🍋,粉丝团灯牌,1,1,[等级16],[粉丝团 Lv11]
2026-05-17 21:04:17,2648043753577421,若你豫见,点亮粉丝团,1,1,[等级28],[粉丝团 Lv5]
2026-05-17 21:04:20,100228354423,玲,小心心,1,1,[等级5],
2026-05-17 21:04:21,100228354423,玲,小心心,2,2,[等级5],
2026-05-17 21:04:24,100228354423,玲,小心心,2,2,[等级5],
2026-05-17 21:04:26,3716809199201885,刮开有奖,棒棒糖,1,9,[等级23],[粉丝团 Lv10]
2026-05-17 21:04:28,2311642711599376,日照市高新区福泉茶庄,粉丝团灯牌,1,1,[等级26],[粉丝团 Lv11]
2026-05-17 21:04:29,3716809199201885,刮开有奖,棒棒糖,1,9,[等级23],[粉丝团 Lv10]
2026-05-17 21:04:31,3716809199201885,刮开有奖,爱你哟,1,52,[等级23],[粉丝团 Lv10]
2026-05-17 21:04:32,2648043753577421,若你豫见,粉丝团灯牌,1,1,[等级28],[粉丝团 Lv5]
